Yil,Gelir Grubu,Gelir,Urun Turu,Urun Kodu,Urun Adi,Harcama,Oran
2015,1,27788548.0,GIDA,1111,PİRİNÇ,27457.91,0.011857220170597621
2015,2,45473076.0,GIDA,1111,PİRİNÇ,20786.29,0.005485344338702753
2015,3,61205736.0,GIDA,1111,PİRİNÇ,19304.1,0.00378476291829903
2015,4,85105630.0,GIDA,1111,PİRİNÇ,19582.27,0.002761124434162007
2015,5,169060110.0,GIDA,1111,PİRİNÇ,16762.6,0.0011898205488040715
2015,1,27788548.0,GIDA,1112,UN VE DİĞER TAHILLAR,76086.81,0.03285676361560034
2015,2,45473076.0,GIDA,1112,UN VE DİĞER TAHILLAR,46498.04,0.01227048022878417
2015,3,61205736.0,GIDA,1112,UN VE DİĞER TAHILLAR,33391.77,0.006546792281037188
2015,4,85105630.0,GIDA,1112,UN VE DİĞER TAHILLAR,28963.12,0.004083835955768474
2015,5,169060110.0,GIDA,1112,UN VE DİĞER TAHILLAR,19763.6,0.001402833534078493
2015,1,27788548.0,GIDA,1113,EKMEK,125330.19,0.05412165954556746
2015,2,45473076.0,GIDA,1113,EKMEK,140039.15,0.03695526997118031
2015,3,61205736.0,GIDA,1113,EKMEK,149443.69,0.02929993816265848
2015,4,85105630.0,GIDA,1113,EKMEK,142026.28,0.02002588218838443
2015,5,169060110.0,GIDA,1113,EKMEK,109355.16,0.007762102328144623
2015,1,27788548.0,GIDA,1114,DİĞER FIRINCILIK ÜRÜNLERİ,32604.81,0.0140798192867011
2015,2,45473076.0,GIDA,1114,DİĞER FIRINCILIK ÜRÜNLERİ,47497.29,0.01253417472792032
2015,3,61205736.0,GIDA,1114,DİĞER FIRINCILIK ÜRÜNLERİ,58951.3,0.011557995152611187
2015,4,85105630.0,GIDA,1114,DİĞER FIRINCILIK ÜRÜNLERİ,69637.46,0.009818968502578067
2015,5,169060110.0,GIDA,1114,DİĞER FIRINCILIK ÜRÜNLERİ,102885.77,0.007302900703084813
2015,1,27788548.0,GIDA,1115,PİZZA VE KİŞ,676.86,0.00029229020142722826
