Birim numarasý,Hanehalký tipi,Oturulan konutun tipi,Oturulan konutun mülkiyet durumu,Aylýk ödenen kira tutarý,Konutu kiralama þekli,Lojmandan faydalanan ferdin sýra numarasý,Aylýk izafi kira,Sahip olunan konutun borcu veya ipoteði olup olmadýðý,Oturulan konutun piyasa deðeri,Bu konutta ne kadar süredir oturulduðu (Yýl),Bu konutta ne kadar süredir oturulduðý (Ay),Oturulan binanýn yapýlýþ tarihi,Oturulan konutun oda sayýsý (salon dahil),Oturulan konutun faydalanýlan net alaný (metrekare),Salon zemin yapýsý,Oda zemin yapýsý,Mutfak zemin yapýsý,Banyo zemin yapýsý,Temel ýsýtma sistemi,Isýnma amacýyla kullanýlan yakýt türü 1,Isýnma amacýyla kullanýlan yakýt türü 2,Isýnma amacýyla kullanýlan yakýt türü 3,Yemek piþirmek amacýyla kullanýlan temel yakýt türü,Sýcak su elde etmek amacýyla kullanýlan temel yakýt türü,Günlük alýþveriþ hizmetlerine ulaþma zorluðu,Bankacýlýk hizmetlerine ulaþma zorluðu,Posta hizmetlerine ulaþma zorluðu,Toplu ulaþým hizmetlerine ulaþma zorluðu,Saðlýk merkezi hizmetlerine ulaþma zorluðu,Zorunlu eðitim okullarýna ulaþma zorluðu,Ýkinci konutun olup olmadýðý,Banyo sahipliði,Sauna sahipliði,Jakuzi sahipliði,Tuvalet (Ev içinde) sahipliði,Mutfak sahipliði,Çöp öðütücü sahipliði,Kalorifer sahipliði,Tabandan ýsýtma sistemi sahipliði,Borulu su sistemi (Þebeke suyu) sahipliði,Doðalgaz sahipliði,"Sýcak su (güneþ enerjisi, kombi, devamlý sýcak su, vb.) sahipliði",Kablolu yayýn sahipliði,Asansör sahipliði,Kapalý garaj sahipliði,Yüzme havuzu (Baðýmsýz veya müþterek) sahipliði,Jeneratör (Baðýmsýz veya müþterek) sahipliði,Güvenlik görevlisi/sistemi sahipliði,Balkon sahipliði,Bahçe sahipliði,Çocuk oyun alaný sahipliði,Telefon hattý sayýsý,Cep telefonu sayýsý,Bilgisayar sayýsý,Internet aboneliði  sayýsý,"Panel TV (Plazma, LCD, LED, 3D vb.) sayýsý",Video kamera  sayýsý,Uydu anteni  sayýsý,Buzdolabý  sayýsý,Derin dondurucu sayýsý,Bulaþýk makinesi sayýsý,Mikrodalga fýrýn sayýsý,Otomatik çamaþýr makinesi sayýsý,Çamaþýr kurutma makinesi sayýsý,Halý yýkama makinesi sayýsý,Klima  sayýsý,Oyun konsolu sayýsý,"Otomobil (binek, 4x4, van vb.) sayýsý","Ýþverence saðlanan araç (otomobil,minibüs,vb.) sayýsý",Motosiklet sayýsý,Motorlu-motorsuz deniz taþýtlarý sayýsý,Müstakil konut sahipliði,Müstakil konut miktarý,Müstakil konutun kiraya verilen miktarý,Müstakil konutun toplam aylýk kira degeri,Apartman dairesi sahipliði,Apartman dairesi miktarý,Apartman dairesi kiraya verilen miktarý,Apartman dairesi toplam aylýk kira degeri,Yazlýk sahipliði,Yazlýk miktarý,Yazlýk kiraya verilen miktarý,Yazlýk toplam aylýk kira degeri,Tarla sahipliði,Tarla miktarý,Tarla kiraya verilen miktarý,Tarla toplam aylýk kira degeri,Bað sahipliði,Bað miktarý,Bað kiraya verilen miktarý,Bað toplam aylýk kira degeri,Sera sahipliði,Sera miktarý,Sera kiraya verilen miktarý,Sera toplam aylýk kira degeri,Arsa sahipliði,Arsa miktarý,Arsa kiraya verilen miktarý,Arsa toplam aylýk kira degeri,"Dükkan, depo sahipliði","Dükkan, depo miktarý","Dükkan, depo kiraya verilen miktarý","Dükkan, depo toplam aylýk kira degeri","Otel, motel, pansiyon sahipliði","Otel, motel, pansiyon miktarý","Otel, motel, pansiyon kiraya verilen miktarý","Otel, motel, pansiyon toplam aylýk kira degeri",Elektrikli bisiklet sayýsý,Sigara içme alýþkanlýðý olan fert olup olmadýðý,Alkol içme alýþkanlýðý olan fert olup olmadýðý,Dýþarýda yemek yeme alýþkanlýðýnýn olup olmadýðý,Günlük gazete satýn alma alýþkanlýðý olup olmadýðý,Aylýk/haftalýk dergi veya mecmua satýn alma alýþkanlýðý olup olmadýðý,"Sinema, tiyatro, spor müsabakasý vb. yerlere gitme alýþkanlýðý olup olmadýðý",Ücretli TV yayýn aboneliði olup olmadýðý,"Ücret ödeyerek spor, eðlence, kültür vb. amaçlý faaliyette bulunup bulunmadýðý",Þans oyunlarý oynama alýþkanlýðý olup olmadýðý,"Kahvehane, kafe, lokal, internet kafe vb. yerlere gitme alýþkanlýðý olup olmadýðý","Hayat sigortasý, bireysel emeklilik primi veya isteðe baðlý sigorta primi ödenip ödenmediði",Kredi kartý kullanýlýp kullanýlmadýðý,Pazara gitme alýþkanlýðý olup olmadýðý,INTERNET_ALISVERIS_SIKLIK,Tasarrufu deðerlendirme þekli_1,Tasarrufu deðerlendirme þekli_2,Tasarrufu deðerlendirme þekli_3,Tasarrufu deðerlendirme þekli_4,Yýllýk kullanýlabilir hanehalký geliri (TL),OECD eþdeðer fert büyüklüðü,Hanehalký bazýnda harcama deðeri (TL),Hanehalký büyüklüðü,Faktor
1504786,2,1,1,,,,150,2,10000,19,,5,2,80,98,98,98,,5,13,11,12,11,11,4,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,50,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,5292.84,2.5,873.5,4,564.68979853
1504787,5,1,1,,,,150,2,15000,8,,8,6,190,6,6,6,6,5,11,13,12,4,5,4,4,4,4,4,5,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,4,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,90,,,,35931.21,7.1,3180.5,16,1253.2004507
1504788,3,1,1,,,,150,2,20000,7,,8,3,85,6,6,,,5,13,12,,13,13,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,120,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,31746.1,3.6,2437.76,9,771.58558305
1504790,1,1,1,,,,150,2,30000,28,,1,2,60,2,2,2,6,5,12,11,,4,4,4,4,4,4,4,4,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,2,,,,2,,,,1,1,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,98,,,,26501.76,2,1084.37,3,2497.6101748
1504791,1,1,1,,,,250,2,60000,30,,5,4,125,2,2,2,3,5,11,12,,4,4,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,3,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,,1,1,0,,2,,,,1,1,0,,1,3,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,90,,,,27394.41,2,1784.11,3,2838.249477
1504792,4,1,1,,,,250,2,70000,32,,5,3,120,2,2,2,3,5,11,12,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,1,0,,1,8,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,90,,,,19825.71,1.5,951.12,2,2288.716397
1504793,1,1,1,,,,300,2,60000,17,,6,3,110,1,1,3,3,3,12,11,,4,4,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,,1,2,0,,2,,,,1,1,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,90,,,,40884.19,2,4100.76,3,1977.8968579
1504794,1,1,1,,,,150,2,40000,6,,8,3,72,2,2,2,3,5,11,12,,11,11,4,4,4,4,4,4,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,,2,,,,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,15604.51,2,998.01,3,2018.4342173
1504795,1,3,1,,,,400,1,120000,6,,6,4,100,1,1,1,3,3,3,,,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,0,2,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,1,2,2,98,,,,33193.06,1.8,1944.75,3,2052.7532556
1504796,4,4,1,,,,550,2,150000,20,,6,4,120,2,2,3,3,3,3,,,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,1,1,0,,1,6,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,90,,,,35467.68,1.5,2957.95,2,1488.4333736
1504797,1,4,1,,,,450,2,80000,22,,6,4,90,1,1,3,3,5,12,11,,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,1,4,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,1,1,0,,2,,,,2,,,,1,6,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,1,2,2,1,2,2,2,2,1,1,2,90,,,,31543.37,2,4313.82,3,1221.1542854
1504798,2,4,2,500,2,,,,,5,,6,4,110,1,1,3,3,2,12,,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,3,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,,,,76918.44,2.1,6400.29,4,1780.229019
1504799,1,4,1,,,,450,1,65000,2,,8,3,90,1,1,1,3,2,12,,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,0,,2,,,,0,1,2,1,2,1,2,1,2,2,2,2,2,2,2,90,,,,33071.74,1.8,2092.03,3,1779.4899254
1504800,5,1,1,,,,300,2,80000,5,,1,3,75,1,1,1,3,5,12,11,98,4,5,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,,2,,,,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,48469.61,2.6,2629.5,5,1661.8032033
1504801,1,4,1,,,,500,1,150000,4,,7,4,140,1,1,3,3,3,3,,,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,0,3,1,1,2,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,,,,78675.16,1.8,3929.25,3,1126.6132966
1504802,1,4,1,,,,500,1,150000,4,,7,4,140,1,1,3,3,3,3,,,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,0,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,,,,71666.8,1.8,3735.34,3,1557.8301429
1504803,4,4,1,,,,500,2,150000,8,,7,4,145,1,1,3,3,3,3,,,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,1,8,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,90,,,,46425.62,1.5,3717.13,2,1169.9562778
1504805,1,4,1,,,,500,2,150000,4,,7,4,145,1,1,3,3,3,3,,,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,0,2,1,0,2,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,,,,1,4,1,800,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,98,,,109295.97,1.8,12188.99,3,1579.2813599
1504806,1,3,4,,,,300,,,12,,7,4,140,1,1,3,3,5,11,12,,4,5,3,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,90,,,,30006.8,1.8,2790.32,3,1204.8096675
1504807,7,3,2,350,2,,,,,2,,8,4,120,2,2,3,3,2,12,,,4,5,2,4,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,1,2,2,2,1,2,1,90,,,,28748.5,2,1760.35,3,1983.7432902
1504808,3,4,1,,,,600,2,200000,7,,8,4,145,1,1,3,3,2,12,,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,0,3,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,1,2,2,2,2,1,1,2,90,,,,32613.67,3.1,3481.87,6,2562.0727918
1504809,1,1,2,300,2,,,,,2,,5,4,120,2,2,3,3,5,11,12,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,90,,,,35073.17,1.8,2665.18,3,2524.8142665
1504811,1,4,1,,,,1000,2,350000,4,,8,5,200,1,1,3,3,2,12,,,4,4,1,4,4,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,0,2,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,1,2,2,2,1,1,1,2,98,,,,41260.75,1.8,3770.05,3,2524.8142665
1504813,3,1,4,,,,200,,,12,,5,3,90,2,2,6,3,5,11,12,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,1,9,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,90,,,,41393.42,3.8,3005.76,7,3414.8563581
1504814,1,1,1,,,,250,2,50000,22,,6,4,100,2,2,3,3,5,11,,,11,5,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,,1,3,1,500,2,,,,2,,,,1,8,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,,,30284.94,2,1618.17,3,1788.1708235
1504815,3,1,1,,,,200,2,50000,30,,4,4,110,2,2,3,3,5,11,,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,4,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,1,1,1,450,2,,,,2,,,,1,9,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,,,55271.11,2.8,3089.09,5,2379.680745
1504817,2,1,4,,,,250,,,1,,8,3,100,1,1,3,3,5,12,11,,4,4,3,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,,,,2,,,,2,,,,2,,,,1,3,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,29197.72,2.3,2550.07,4,1812.3941345
1504820,3,4,1,,,,500,1,120000,2,,8,4,135,1,1,3,3,2,12,,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,0,4,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,90,,,,38198.32,3.7,2506.13,8,1134.2918082
1504821,1,4,1,,,,550,2,150000,5,,8,4,117,1,1,3,3,2,12,,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,1,2,2,2,2,1,1,2,90,,,,31689.6,1.8,2501.29,3,1348.3204127
1504822,2,1,1,,,,300,2,60000,25,,5,3,80,2,2,3,3,5,11,12,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,4,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,90,,,,48364.03,2.5,2756.81,4,2024.0870012
1504825,2,3,2,500,2,,,,,5,,7,4,135,2,2,3,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,1,2,1,2,2,2,2,1,2,2,90,,,,48195.03,2.1,4605.88,4,1800.049201
1504826,2,3,1,,,,300,2,40000,30,,3,3,89,2,2,3,3,5,11,,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,90,,,,22270.84,2.5,2188.7,4,1577.3249068
1504827,4,3,4,,,,300,,,14,,4,2,60,2,2,3,3,3,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,1,2,2,1,2,2,1,2,90,,,,22276.07,1.5,1814.44,2,1424.5255699
1504828,4,3,2,350,2,,,,,3,,4,3,89,1,1,3,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,2,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,1,2,2,2,2,1,2,2,90,,,,24591.99,1.5,2122.6,2,2144.7888948
1504829,6,3,1,,,,300,2,35000,1,,3,2,50,2,2,3,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,,,,1,2,1,375,2,,,,2,,,,1,6,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,2,2,1,1,2,98,,,,53444.67,1.5,2393.71,2,1505.2428218
1504830,2,3,1,,,,350,2,80000,11,,3,4,120,2,2,3,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,1,11,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,90,,,,23195.96,2.3,3165.13,4,1180.9486306
1504832,6,3,4,,,,250,,,4,,5,2,60,2,2,3,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,1,2,2,2,2,2,90,,,,20447.73,1,1721.25,1,5637.2002789
1504833,1,3,2,230,2,,,,,10,,3,3,80,2,2,7,3,5,11,12,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,2,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,10642.17,1.8,1291.19,3,2130.1951249
1504835,1,3,1,,,,250,2,100000,5,,5,4,110,1,1,1,3,3,11,12,,4,5,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,0,3,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,,1,1,0,,2,,,,2,,,,1,5,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,1,2,1,1,2,90,,,,22784.2,1.8,3485.84,3,2120.6527317
1504838,1,1,1,,,,100,2,20000,20,,6,2,55,6,6,6,6,5,13,12,,13,13,4,4,4,4,4,4,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,13598.69,2,1283.76,3,557.6840642
1504841,5,1,1,,,,100,2,15000,25,,5,4,100,98,98,98,6,5,13,11,,13,5,4,4,4,4,4,4,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,45,0,,1,1,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,22990.37,4.1,872.07,8,631.57431524
1504842,3,1,1,,,,100,2,20000,3,,8,3,100,6,6,,3,5,13,,,13,13,4,4,4,4,4,4,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,5971.54,2.4,843.13,5,557.11137762
1504843,5,1,1,,,,100,2,15000,30,,5,4,100,6,6,6,6,5,12,13,,12,13,4,4,4,4,4,4,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,11875.92,3.9,1976.12,8,558.19721405
1504844,5,1,1,,,,100,2,20000,35,,4,5,150,7,7,3,3,5,11,12,13,4,5,4,4,4,4,4,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,10,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,33873.02,4.6,4071.72,9,642.52611402
1504845,5,1,1,,,,100,2,30000,25,,5,4,100,3,3,3,3,5,12,13,11,4,5,5,5,5,5,5,5,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,32222.82,2,3898.1,3,556.75921112
1504847,5,1,1,,,,100,2,50000,25,,5,4,120,6,6,3,3,5,11,12,13,4,5,4,4,4,4,4,4,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,2,,,,2,,,,1,10,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,90,,,,11218.14,3.4,2016,7,848.67319034
