BIRIMNO;HH_TIP_HBA;KONUT_TIP;MULKIYET;KIRA_TUTAR;KIRA_SEKLI;FERTNO_LOJMAN;KIRA_IZAFI;KONUT_BORC;KONUT_PIYASA_DEGER;KONUT_SURE_YIL;KONUT_SURE_AY;BINA_YIL;ODA_SAYI;KONUT_ALAN;ZEMIN_SALON;ZEMIN_ODA;ZEMIN_MUTFAK;ZEMIN_BANYO;ISITMA_SISTEM;YAKIT_TUR_1;YAKIT_TUR_2;YAKIT_TUR_3;YAKIT_TUR_MUTFAK;YAKIT_TUR_SICAKSU;OLCEK_ALISVERIS;OLCEK_BANKACILIK;OLCEK_POSTA;OLCEK_ULASIM;OLCEK_SAGLIK_MERKEZI;OLCEK_ZORUNLU_EGITIM;KONUT_IKINCI;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COP_OGUTUCU;KALORIFER;TABAN_ISITMA;BORULU_SU_SISTEM;DOGALGAZ;SICAKSU;KABLO_YAYIN;ASANSOR;GARAJ;HAVUZ;JENERATOR;GUVENLIK_SISTEM;BALKON;BAHCE;COCUK_OYUN_ALAN;TELEFON_HAT_SAYI;CEP_TELEFON_SAYI;BILGISAYAR_SAYI;INTERNET_SAYI;PANEL_TV_SAYI;VIDEO_KAMERA_SAYI;UYDU_ANTEN_SAYI;BUZDOLABI_SAYI;DERIN_DONDURUCU_SAYI;BULASIK_MAKINE_SAYI;MIKRODALGA_FIRIN_SAYI;CAMASIR_MAKINE_SAYI;CAMASIR_KURUTMA_SAYI;HALI_YIKAMA_SAYI;KLIMA_SAYI;OYUN_KONSOL_SAYI;OTOMOBIL_SAYI;ISVEREN_ARAC_SAYI;MOTOSIKLET_SAYI;DENIZTASIT_SAYI;MUSKONUT_SAHIPLIGI;MUSKONUT_MIKTAR;MUSKONUT_KIRAYA_VERILEN;MUSKONUT_AYLIK_KIRA;APARTMAN_SAHIPLIGI;APARTMAN_MIKTAR;APARTMAN_KIRAYA_VERILEN;APARTMAN_AYLIK_KIRA;YAZLIK_SAHIPLIGI;YAZLIK_MIKTAR;YAZLIK_KIRAYA_VERILEN;YAZLIK_AYLIK_KIRA;TARLA_SAHIPLIGI;TARLA_MIKTAR;TARLA_KIRAYA_VERILEN;TARLA_AYLIK_KIRA;BAG_SAHIPLIGI;BAG_MIKTAR;BAG_KIRAYA_VERILEN;BAG_AYLIK_KIRA;SERA_SAHIPLIGI;SERA_MIKTAR;SERA_KIRAYA_VERILEN;SERA_AYLIK_KIRA;ARSA_SAHIPLIGI;ARSA_MIKTAR;ARSA_KIRAYA_VERILEN;ARSA_AYLIK_KIRA;DUKKAN_SAHIPLIGI;DUKKAN_MIKTAR;DUKKAN_KIRAYA_VERILEN;DUKKAN_AYLIK_KIRA;OTEL_SAHIPLIGI;OTEL_MIKTAR;OTEL_KIRAYA_VERILEN;OTEL_AYLIK_KIRA;ELEKTRIKLI_BISIKLET_SAYI;SIGARA_ALISKANLIK;ALKOL_ALISKANLIK;DISARIDA_YEMEK;GAZETE_ALISKANLIK;DERGI_ALISKANLIK;SINEMA_ALISKANLIK;UCRETLI_TV_ALISKANLIK;UCRETLI_SPOR_ALISKANLIK;SANS_OYUN_ALISKANLIK;KAHVEHANE_ALISKANLIK;OZEL_SIGORTA;KREDI_KARTI;PAZAR_ALISKANLIK;INTERNET_ALISVERIS_SIKLIK;TASARRUF_1;TASARRUF_2;TASARRUF_3;TASARRUF_4;YILKULGEL;EFB_OECD;HARCAMA;HHB;FAKTOR
1800001;1;142;1;;;;600;2;125000;3;;8;3;90;1;1;1;3;32;14;;;1316;1512;1;1;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;1;2;1;2;2;2;1;1;2;2;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;1;;;;23711.76;1;1021.65;1;3225.21352931
1800002;22;122;1;;;;300;2;100000;25;;6;3;100;3;3;3;3;2;111212;;;1316;1512;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;0;3;2;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;290;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;1;2;2;2;1;2;2;1;90;90;;;;42530.54;2.5;1938.33;4;2590.67546509
1800003;21;122;2;300;2;;;;;15;;3;4;100;3;3;3;3;2;1111;;;1316;14;1;1;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;0;2;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;1;2;2;2;2;2;1;2;2;1;1;90;90;;;;57907.44;1.5;3752.85;2;1659.86021534
1800004;23;122;4;;;;350;;;4;;4;2;50;6;6;;;2;1111;111211;;1316;1512;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;2;2;2;2;2;2;2;2;90;90;;;;10420.98;1.3;776.99;2;1850.48700407
1800005;23;11;4;;;;500;;;9;;4;3;70;6;6;6;6;2;1111;111211;;1316;14;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;0;2;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;2;2;2;2;2;2;2;1;90;90;;;;64291.16;2;2354.38;3;2509.29175205
1800006;22;122;1;;;;400;2;220000;6;;3;3;89;3;6;3;3;2;111211;111212;;1316;1512;1;1;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;1;3;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;2;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;1;1;2;1;2;2;2;2;2;1;2;2;2;1;90;5;;;;60393.47;2.5;3268.61;4;2306.61094146
1800007;1;11;1;;;;500;2;150000;15;;7;5;160;3;3;3;3;2;14;;;1316;1512;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;2;1;350;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;1;1;1;350;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;5;;;;34593.25;1;1297.3;1;4147.75777920
1800008;21;122;4;;;;400;;;2;;6;2;80;3;3;3;3;2;111211;;;1316;1512;1;1;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;0;2;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;1;2;2;2;2;2;2;2;2;2;1;90;90;;;;30846.72;1.5;2322.68;2;2395.93676648
1800010;22;132;1;;;;400;2;130000;37;;4;3;115;3;3;3;3;2;111211;111212;;1316;1512;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;0;3;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;1;2;2;2;2;1;2;2;1;2;90;90;;;;24458.3;2;1590.97;3;1761.38709444
1800011;22;11;1;;;;200;2;100000;20;;6;3;105;3;3;3;3;32;14;;;1316;1512;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;0;3;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;2;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;1;1;2;2;2;2;2;2;2;2;1;2;90;90;;;;40191;2;3264.05;3;1866.97608219
