BIRIMNO;HH_TIP_HBA;KONUT_TIP;MULKIYET;KIRA_TUTAR;KIRA_SEKLI;FERTNO_LOJMAN;KIRA_IZAFI;KONUT_BORC;KONUT_PIYASA_DEGER;KONUT_SURE_YIL;KONUT_SURE_AY;BINA_YIL;ODA_SAYI;KONUT_ALAN;ZEMIN_SALON;ZEMIN_ODA;ZEMIN_MUTFAK;ZEMIN_BANYO;ISITMA_SISTEM;YAKIT_TUR_1;YAKIT_TUR_2;YAKIT_TUR_3;YAKIT_TUR_MUTFAK;YAKIT_TUR_SICAKSU;OLCEK_ALISVERIS;OLCEK_BANKACILIK;OLCEK_POSTA;OLCEK_ULASIM;OLCEK_SAGLIK_MERKEZI;OLCEK_ZORUNLU_EGITIM;KONUT_IKINCI;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COP_OGUTUCU;KALORIFER;TABAN_ISITMA;BORULU_SU_SISTEM;DOGALGAZ;SICAKSU;KABLO_YAYIN;ASANSOR;GARAJ;HAVUZ;JENERATOR;GUVENLIK_SISTEM;BALKON;BAHCE;COCUK_OYUN_ALAN;TELEFON_HAT_SAYI;CEP_TELEFON_SAYI;BILGISAYAR_SAYI;INTERNET_SAYI;PANEL_TV_SAYI;VIDEO_KAMERA_SAYI;UYDU_ANTEN_SAYI;BUZDOLABI_SAYI;DERIN_DONDURUCU_SAYI;BULASIK_MAKINE_SAYI;MIKRODALGA_FIRIN_SAYI;CAMASIR_MAKINE_SAYI;CAMASIR_KURUTMA_SAYI;HALI_YIKAMA_SAYI;KLIMA_SAYI;OYUN_KONSOL_SAYI;OTOMOBIL_SAYI;ISVEREN_ARAC_SAYI;MOTOSIKLET_SAYI;DENIZTASIT_SAYI;MUSKONUT_SAHIPLIGI;MUSKONUT_MIKTAR;MUSKONUT_KIRAYA_VERILEN;MUSKONUT_AYLIK_KIRA;APARTMAN_SAHIPLIGI;APARTMAN_MIKTAR;APARTMAN_KIRAYA_VERILEN;APARTMAN_AYLIK_KIRA;YAZLIK_SAHIPLIGI;YAZLIK_MIKTAR;YAZLIK_KIRAYA_VERILEN;YAZLIK_AYLIK_KIRA;TARLA_SAHIPLIGI;TARLA_MIKTAR;TARLA_KIRAYA_VERILEN;TARLA_AYLIK_KIRA;BAG_SAHIPLIGI;BAG_MIKTAR;BAG_KIRAYA_VERILEN;BAG_AYLIK_KIRA;SERA_SAHIPLIGI;SERA_MIKTAR;SERA_KIRAYA_VERILEN;SERA_AYLIK_KIRA;ARSA_SAHIPLIGI;ARSA_MIKTAR;ARSA_KIRAYA_VERILEN;ARSA_AYLIK_KIRA;DUKKAN_SAHIPLIGI;DUKKAN_MIKTAR;DUKKAN_KIRAYA_VERILEN;DUKKAN_AYLIK_KIRA;OTEL_SAHIPLIGI;OTEL_MIKTAR;OTEL_KIRAYA_VERILEN;OTEL_AYLIK_KIRA;ELEKTRIKLI_BISIKLET_SAYI;SIGARA_ALISKANLIK;ALKOL_ALISKANLIK;DISARIDA_YEMEK;GAZETE_ALISKANLIK;DERGI_ALISKANLIK;SINEMA_ALISKANLIK;UCRETLI_TV_ALISKANLIK;UCRETLI_SPOR_ALISKANLIK;SANS_OYUN_ALISKANLIK;KAHVEHANE_ALISKANLIK;OZEL_SIGORTA;KREDI_KARTI;PAZAR_ALISKANLIK;INTERNET_ALISVERIS_SIKLIK;TASARRUF_1;TASARRUF_2;TASARRUF_3;TASARRUF_4;YILKULGEL;EFB_OECD;HARCAMA;HHB;FAKTOR
1702152;6;4;1;;;;1000;2;200000;15;;6;4;160;1;1;4;3;2;3;;;3;3;1;2;2;2;3;1;2;1;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;1;1;2;2;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;1;2;2;1;2;2;2;2;2;1;1;90;90;;;;67059.01;1.5;4775.87;2;1423.3825812
1702153;5;4;1;;;;800;2;200000;25;;6;4;180;1;1;3;3;3;3;;;3;3;1;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;1;1;2;2;2;1;1;2;2;1;3;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;1;1;2;2;2;2;1;2;90;90;;;;72097.04;2.3;2721.55;4;1414.1675257
1702154;2;4;1;;;;700;2;200000;20;;6;4;180;1;1;3;3;2;3;;;3;3;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;1;1;1;2;1;2;2;2;1;1;2;2;0;4;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;2;;;;1;1;0;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;1;1;2;2;1;1;1;90;90;;;;73163.66;2.5;9344.13;4;1988.2091079
1702155;6;1;4;;;;100;;;5;;5;4;80;6;2;6;6;5;11;12;;4;4;4;4;4;4;4;4;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;1;2;90;90;;;;41432.47;1;1336;1;564.73509777
1702157;2;1;1;;;;250;2;70000;8;;4;5;150;6;6;3;3;5;11;12;;4;5;3;3;3;3;3;3;2;1;2;2;1;1;2;2;2;1;2;1;2;2;1;2;2;2;1;1;2;0;2;2;1;2;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;;2;;;;2;;;;1;300;0;;1;10;0;;2;;;;2;;;;2;;;;2;;;;0;1;2;1;2;2;2;2;2;2;2;2;1;1;90;90;;;;63538.51;2.1;1848.64;4;559.62906749
1702159;5;1;4;;;;50;;;25;;4;2;50;6;98;6;6;5;12;11;13;4;6;4;4;4;4;4;4;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;0;3;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;2;1;90;90;;;;55756.94;2.3;548.76;4;558.86094165
1702160;5;1;1;;;;100;2;30000;10;;3;4;100;6;6;3;3;5;13;11;;4;6;4;4;4;4;4;4;1;1;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;1;2;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;2;0;;2;;;;2;;;;1;30;0;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;2;2;90;5;;;;149977.06;4.3;5312.65;8;560.55796099
1702162;5;1;1;;;;100;2;60000;45;;4;4;90;6;6;6;6;5;11;13;12;4;11;3;4;4;4;4;4;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;;2;;;;2;;;;1;30;0;;2;;;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;2;1;90;90;;;;66054.98;1.5;2105.94;2;3946.7679941
1702164;4;1;1;;;;100;2;30000;37;;4;4;110;6;6;6;3;5;13;11;;4;6;2;4;4;4;4;4;2;1;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;;2;;;;2;;;;1;79;0;;2;;;;2;;;;2;;;;2;;;;2;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;90;90;;;;16819.86;1.5;825.59;2;3082.5291093
1702165;4;1;1;;;;100;2;40000;33;;5;3;120;6;6;6;6;5;12;11;;4;12;4;4;4;4;4;4;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;;1;1;0;;2;;;;1;6;0;;1;1;0;;2;;;;2;;;;2;;;;2;;;;0;1;2;2;2;2;2;2;2;2;2;2;2;2;90;90;;;;14002.21;1.5;664.14;2;2829.2697128
