BIRIMNO,HH_TIP_HBA,KONUT_TIP,MULKIYET,KIRA_TUTAR,KIRA_SEKLI,FERTNO_LOJMAN,KIRA_IZAFI,KONUT_BORC,KONUT_PIYASA_DEGER,KONUT_SURE_YIL,KONUT_SURE_AY,BINA_YIL,ODA_SAYI,KONUT_ALAN,ZEMIN_SALON,ZEMIN_ODA,ZEMIN_MUTFAK,ZEMIN_BANYO,ISITMA_SISTEM,YAKIT_TUR_1,YAKIT_TUR_2,YAKIT_TUR_3,YAKIT_TUR_MUTFAK,YAKIT_TUR_SICAKSU,OLCEK_ALISVERIS,OLCEK_BANKACILIK,OLCEK_POSTA,OLCEK_ULASIM,OLCEK_SAGLIK_MERKEZI,OLCEK_ZORUNLU_EGITIM,KONUT_IKINCI,BANYO,SAUNA,JAKUZI,TUVALET,MUTFAK,COP_OGUTUCU,KALORIFER,TABAN_ISITMA,BORULU_SU_SISTEM,DOGALGAZ,SICAKSU,KABLO_YAYIN,ASANSOR,GARAJ,HAVUZ,JENERATOR,GUVENLIK_SISTEM,BALKON,BAHCE,COCUK_OYUN_ALAN,TELEFON_HAT_SAYI,CEP_TELEFON_SAYI,BILGISAYAR_SAYI,INTERNET_SAYI,PANEL_TV_SAYI,VIDEO_KAMERA_SAYI,UYDU_ANTEN_SAYI,BUZDOLABI_SAYI,DERIN_DONDURUCU_SAYI,BULASIK_MAKINE_SAYI,MIKRODALGA_FIRIN_SAYI,CAMASIR_MAKINE_SAYI,CAMASIR_KURUTMA_SAYI,HALI_YIKAMA_SAYI,KLIMA_SAYI,OYUN_KONSOL_SAYI,OTOMOBIL_SAYI,ISVEREN_ARAC_SAYI,MOTOSIKLET_SAYI,DENIZTASIT_SAYI,MUSKONUT_SAHIPLIGI,MUSKONUT_MIKTAR,MUSKONUT_KIRAYA_VERILEN,MUSKONUT_AYLIK_KIRA,APARTMAN_SAHIPLIGI,APARTMAN_MIKTAR,APARTMAN_KIRAYA_VERILEN,APARTMAN_AYLIK_KIRA,YAZLIK_SAHIPLIGI,YAZLIK_MIKTAR,YAZLIK_KIRAYA_VERILEN,YAZLIK_AYLIK_KIRA,TARLA_SAHIPLIGI,TARLA_MIKTAR,TARLA_KIRAYA_VERILEN,TARLA_AYLIK_KIRA,BAG_SAHIPLIGI,BAG_MIKTAR,BAG_KIRAYA_VERILEN,BAG_AYLIK_KIRA,SERA_SAHIPLIGI,SERA_MIKTAR,SERA_KIRAYA_VERILEN,SERA_AYLIK_KIRA,ARSA_SAHIPLIGI,ARSA_MIKTAR,ARSA_KIRAYA_VERILEN,ARSA_AYLIK_KIRA,DUKKAN_SAHIPLIGI,DUKKAN_MIKTAR,DUKKAN_KIRAYA_VERILEN,DUKKAN_AYLIK_KIRA,OTEL_SAHIPLIGI,OTEL_MIKTAR,OTEL_KIRAYA_VERILEN,OTEL_AYLIK_KIRA,ELEKTRIKLI_BISIKLET_SAYI,SIGARA_ALISKANLIK,ALKOL_ALISKANLIK,DISARIDA_YEMEK,GAZETE_ALISKANLIK,DERGI_ALISKANLIK,SINEMA_ALISKANLIK,UCRETLI_TV_ALISKANLIK,UCRETLI_SPOR_ALISKANLIK,SANS_OYUN_ALISKANLIK,KAHVEHANE_ALISKANLIK,OZEL_SIGORTA,KREDI_KARTI,PAZAR_ALISKANLIK,INTERNET_ALISVERIS_SIKLIK,TASARRUF_1,TASARRUF_2,TASARRUF_3,TASARRUF_4,YILKULGEL,EFB_OECD,HARCAMA,HHB,FAKTOR
1600012,5,3,4,,,,500,,,22,,6,4,141,3,3,3,3,5,11,,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,3,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,19873.92,3.4,1517.1,7,3238.23798232
1600013,2,4,1,,,,850,2,190000,3,,6,4,165,3,3,3,3,2,3,,,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,0,2,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,2,,,,1,2,1,500,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,1,2,2,2,1,2,1,1,90,90,,,,61652.73,2.5,3467.84,4,1260.59285652
1600014,5,4,2,750,2,,,,,0,8,6,4,160,3,3,3,3,7,5,,,4,5,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,3,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,1,2,1,1,2,1,1,1,90,90,,,,64578.76,2,9912.37,3,1750.51764841
1600015,6,4,1,,,,1000,2,260000,7,,6,4,160,3,3,3,3,6,5,,,4,6,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,0,1,1,1,1,0,1,2,0,1,1,1,0,0,1,0,0,0,1,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,1,2,2,2,2,2,1,1,90,90,,,,28627.03,1,1382.6,1,3598.91970597
1600016,1,4,1,,,,800,2,200000,18,,6,4,165,1,1,1,3,2,3,,,3,3,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,0,3,0,0,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,1,2,1,1,90,90,,,,46880.74,2,2975.46,3,1672.46711236
1600017,2,4,1,,,,750,2,185000,7,,6,4,145,3,3,3,3,6,5,,,4,6,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,0,2,0,0,1,0,1,1,0,1,1,1,0,0,3,0,0,1,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,1,1620,0,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,1,2,2,2,1,90,90,,,,28185.03,2.1,2126.36,4,1242.98374667
1600018,2,4,1,,,,850,2,170000,15,,6,4,130,3,3,3,3,6,5,,,4,6,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,0,4,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,1,1,90,90,,,,41921.42,2.5,4493.71,4,2414.21024741
1600019,5,1,1,,,,150,2,45000,25,,6,4,120,6,6,6,6,5,11,12,,11,6,1,4,4,2,4,3,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,1,1,0,,1,16,0,,1,3,0,,2,,,,2,,,,2,,,,2,,,,0,1,1,2,2,2,2,2,2,2,2,2,2,1,90,90,,,,27905.73,2.8,2384.53,5,265.63441997
1600021,1,1,1,,,,100,2,25000,35,,2,3,70,6,6,6,,5,11,12,,11,11,3,4,4,2,4,3,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,10,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,1,90,90,,,,19095.19,1.5,1155.22,2,265.63429967
1600022,5,1,1,,,,200,2,50000,30,,5,4,120,6,6,6,3,5,11,12,,11,6,2,4,4,2,4,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,0,3,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,,2,,,,2,,,,1,7,0,,1,1,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,1,90,9,,,,23384.3,2.5,1329.75,4,265.61745725
