BULTEN;HHTIPI;KONUTTIP;MULKIYET;KIRA_AY;KIRA_SEK;LOJ_FERT;IZAFI_K;KONUTSAH;KON_BORC;KONDEGER;OTUR_SUR;BINA_TAR;ODA_SAY;KON_ALAN;zemin_SAL;zemin_ODA;zemin_MUT;zemin_BAN;ISIT_SIS;YAKIT_1;YAKIT_2;YAKIT_3;YAKIT_MUT;YAKIT_SU;zor_alýs;zor_banka;zor_posta;zor_ulas;zor_saglý;zor_egiti;konutiki;konut2_n;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COPOGUT;KALORIF;TABANISI;SU_SIS;DOG_GAZ;SICAKSU;KABLOYAY;ASANSOR;GARAJ;HAVUZ;JENRATOR;TELEFON;CEPTEL;BILGISAY;INTERN;LCDTELE;KAMERA;UYDUANT;BUZDOLAB;DERINDON;BULASIK;M_FIRIN;CAMASIR;KURUTMA;HALIYIKA;KLIMA;OYUNKONS;OTOADET;OTOADET2;OTOADET3;ISOTOADT;MOTOADET;DENTADET;MUSKONUT;MUSMIK;MUSKIRA;MUSKDEG;APARTMAN;APTMIK;APTKIRA;APTKDEG;YAZLIK;YAZMIK;YAZKIRA;YAZKDEG;TARLA;TARMIK;TARKIRA;TARKDEG;BAG;BAGMIK;BAGKIRA;BAGKDEG;SERA;SERAMIK;SERAKIRA;SERAKDEG;ARSA;ARSAMIK;ARSAKIRA;ARSAKDEG;DUKKAN;DUKMIK;DUKKIRA;DUKKDEG;OTEL;OTELMIK;OTELKIRA;OTELKDEG;YILKULGEL;EFB_OECD;HARCAMA;HHB;faktor
1400014;2;4;1;;;;583;2007;2;160000;6;8;4;145;1;1;1;3;2;2;;;4;7;3;3;3;3;3;3;1;3;1;0;0;1;1;0;1;0;1;0;1;0;1;1;0;1;1;2;1;1;2;0;1;1;0;1;1;1;0;0;3;0;1;1;0;0;0;0;0;;;;1;1;0;;1;1;0;;0;;;;1;46;0;;0;;;;0;;;;1;1;0;;0;;;;130051,19;2,3;7715,5;4;1280,727662
1400016;1;1;2;250;2;;;;;;15;4;2;90;6;6;6;6;1;1;2;;4;5;3;3;3;3;3;3;2;;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;13388,03;2;1780,48;3;2005,688757
1400017;4;1;2;208;2;;;;;;3;5;3;110;3;3;3;3;1;1;;;4;5;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;37436,11;1,5;1241,84;2;2592,720571
1400018;3;1;4;0;;;375;;;60000;6;6;3;140;1;1;1;3;1;1;2;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;;0;0;0;0;;;;0;;;;0;;;;1;5;0;;0;;;;0;;;;0;;;;0;;;;0;;;;77751,5;2,6;3473,87;5;1572,785819
1400023;7;1;1;;;;250;1949;2;150000;65;1;3;100;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;1;1;1;1;0;0;2;0;0;;;0;0;0;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;18124,51;1,5;2126,51;2;2200,417702
1400024;7;2;1;;;;200;1960;2;40000;52;1;2;50;6;6;6;6;1;4;;;4;4;3;3;3;3;3;3;2;;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;14362,4;1,5;923,66;2;2388,166577
1400025;1;2;1;;;;250;2005;2;60000;8;3;3;70;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;4;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;;;0;0;0;1;2;1;166;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;46219,01;2;3344,77;3;1502,897029
1400026;1;2;2;250;2;;;;;;0;3;3;100;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;28909,14;1,8;1764,79;3;1788,484865
1400027;2;1;4;0;;;250;;;60000;3;5;3;90;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;24684,54;2,1;1949,53;4;1764,794476
1400028;2;2;4;0;;;250;;;60000;20;3;3;95;3;3;3;3;1;1;2;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;4;1;1;0;0;1;1;0;1;1;1;0;0;1;0;1;0;;0;0;0;1;2;1;208;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;25115,44;2,5;1474,36;4;1795,722982
