2'li Ana grup kodu;HBS_KOD5;tŸr;Grup adÝ
5;5401;DÜÚER;CAM, KRÜSTAL, SERAMÜK VE ‚ÜN PORSELENÜ EÞYALAR
5;5402;DÜÚER;‚ATAL BI‚AK TAKIMI, DÜÚER KESÜCÜ ALETLER, G†M†Þ YEMEK TAKIMLARI
5;5403;DÜÚER;ELEKTRÜKLÜ OLMAYAN MUTFAK GERE‚LERÜ VE EÞYALARI
5;5404;DÜÚER;Z†CCACÜYE, YEMEK TAKIMI VE EV GERE‚LERÜNÜN ONARIMI
5;5511;DÜÚER;MOTORLU B†Y†K ARA‚ VE GERE‚LER (EV VE BAH‚E Ü‚ÜN)
5;5512;DÜÚER;B†Y†K ARA‚ VE GERE‚LERÜN (EV VE BAH‚E Ü‚ÜN) TAMÜRÜ, LEASÜNGÜ VE KÜRALANMASI
5;5521;DÜÚER;MOTORSUZ K†‚†K ALETLER
5;5522;DÜÚER;‚EÞÜTLÜ K†‚†K ALET AKSESUARLARI
5;5523;DÜÚER;MOTORSUZ K†‚†K ALETLER VE ‚EÞÜTLÜ AKSESUARLARIN TAMÜRÜ
5;5611;DÜÚER;EV Ü‚ÜN TEMÜZLÜK VE BAKIM †R†NLERÜ
5;5612;DÜÚER;DÜÚER DAYANIKSIZ K†‚†K EV EÞYALARI
5;5621;DÜÚER;†CRETLÜ ‚ALIÞANLAR TARAFINDAN SUNULAN EV Ü‚Ü HÜZMETLER
5;5622;DÜÚER;TEMÜZLÜK HÜZMETLERÜ
5;5623;DÜÚER;MOBÜLYA VE MEFRUÞATIN KÜRALANMASI
5;5629;DÜÚER;DÜÚER EV Ü‚Ü HÜZMETLER VE HANEHALKI HÜZMETLERÜ
6;6110;DÜÚER;ECZACILIK †R†NLERÜ
6;6121;DÜÚER;GEBELÜK TESTLERÜ VE GEBELÜK …NLEYÜCÜ MEKANÜK CÜHAZLAR
6;6129;DÜÚER;BAÞKA YERDE SINIFLANDIRILMAMIÞ DÜÚER TIBBÜ †R†NLER
6;6131;DÜÚER;D†ZELTÜCÜ G…ZL†KLER VE KONTAK LENSLER
6;6132;DÜÚER;ÜÞÜTME CÜHAZLARI
6;6133;DÜÚER;TEDAVÜ AMA‚LI ALET VE EKÜPMANLARIN ONARIMI
6;6139;DÜÚER;DÜÚER TEDAVÜ AMA‚LI ALET VE EKÜPMANLAR
6;6211;DÜÚER;PRATÜSYEN HEKÜMLÜK
6;6212;DÜÚER;UZMAN HEKÜMLÜK
6;6220;DÜÚER;DÜÞ HEKÜMLÜÚÜ HÜZMETLERÜ
6;6231;DÜÚER;TIBBÜ ANALÜZ LABORATUVARLARININ VE R…NTGEN MERKEZLERÜNÜN HÜZMETLERÜ
6;6232;DÜÚER;KAPLICALAR, D†ZELTÜCÜ JÜMNASTÜK TEDAVÜSÜ, AMBULANS HÜZMETLERÜ VE TEDAVÜ AMA‚LI EKÜPMANLARIN KÜRALANMASI
6;6239;DÜÚER;DÜÚER PARAMEDÜKAL HÜZMETLER
6;6300;DÜÚER;HASTANE HÜZMETLERÜ
7;7111;DÜÚER;YENÜ MOTORLU ARA‚LAR
7;7112;DÜÚER;ÜKÜNCÜ EL MOTORLU ARA‚LAR
7;7120;DÜÚER;MOTOSÜKLET
7;7130;DÜÚER;BÜSÜKLET
7;7140;DÜÚER;HAYVANLAR TARAFINDAN ‚EKÜLEN ARA‚LAR
7;7211;DÜÚER;LASTÜKLER
7;7212;DÜÚER;KÜÞÜSEL ULAÞIM ARA‚LARININ YEDEK PAR‚ALARI
7;7213;DÜÚER;KÜÞÜSEL ULAÞIM ARA‚LARININ AKSESUARLARI
7;7221;DÜÚER;DÜZEL
7;7222;DÜÚER;BENZÜN
7;7223;DÜÚER;KÜÞÜSEL ULAÞIM ARA‚LARININ DÜÚER YAKITLARI
7;7224;DÜÚER;YAÚLAR
7;7230;DÜÚER;KÜÞÜSEL ULAÞIM ARA‚LARININ BAKIM VE ONARIMI
7;7241;DÜÚER;GARAJLARIN, PARK YERLERÜNÜN VE KÜÞÜSEL ULAÞIM ARA‚LARININ KÜRALANMASI
7;7242;DÜÚER;GE‚ÜÞ †CRETLERÜ VE PARKMETRELER
7;7243;DÜÚER;S†R†C† KURSLARI, S†R†C† TESTLERÜ, EHLÜYETLER VE YOLA ELVERÜÞLÜLÜK TESTLERÜ
7;7311;DÜÚER;TREN ÜLE YOLCU TAÞIMACILIÚI
7;7312;DÜÚER;METRO VE TRAMVAY ÜLE YOLCU TAÞIMACILIÚI
7;7321;DÜÚER;OTOB†S ÜLE YOLCU TAÞIMACILIÚI
7;7322;DÜÚER;TAKSÜ VE ÞOF…R†YLE KÜRALANMIÞ ARABA ÜLE YOLCU TAÞIMACILIÚI
7;7331;DÜÚER;YURT Ü‚Ü U‚UÞLAR
7;7332;DÜÚER;ULUSLARARASI U‚UÞLAR
7;7341;DÜÚER;DENÜZ YOLU ÜLE YOLCU TAÞIMACILIÚI
7;7342;DÜÚER;Ü‚ SU YOLU ÜLE YOLCU TAÞIMACILIÚI
7;7350;DÜÚER;BÜLEÞÜK YOLCU TAÞIMACILIÚI
7;7361;DÜÚER;KABLOLU DEMÜR YOLU, TELEFERÜK VE TELESÜYEJ TAÞIMALARI
7;7362;DÜÚER;NAKLÜYAT VE DEPOLAMA HÜZMETLERÜ
7;7369;DÜÚER;BAÞKA YERDE SINIFLANDIRILMAMIÞ DÜÚER SATIN ALINMIÞ ULAÞTIRMA HÜZMETLERÜ
8;8101;DÜÚER;MEKTUP DAÚITIM HÜZMETLERÜ
8;8109;DÜÚER;DÜÚER POSTA HÜZMETLERÜ
8;8201;DÜÚER;SABÜT TELEFON EKÜPMANLARI
8;8202;DÜÚER;MOBÜL TELEFON EKÜPMANLARI
8;8203;DÜÚER;DÜÚER TELEFON EKÜPMANLARI VE TELEFAKS EKÜPMANLARI
8;8204;DÜÚER;TELEFON VEYA TELEFAKS EKÜPMANLARININ TAMÜRÜ
8;8301;DÜÚER;KABLOLU TELEFON HÜZMETLERÜ
8;8302;DÜÚER;KABLOSUZ TELEFON HÜZMETLERÜ
8;8303;DÜÚER;ÜNTERNET ERÜÞÜMÜ SAÚLAMA HÜZMETLERÜ
8;8304;DÜÚER;DONANIMLI TELEKOM†NÜKASYON HÜZMETLERÜ
8;8305;DÜÚER;DÜÚER BÜLGÜ DAÚITIM HÜZMETLERÜ
9;9111;DÜÚER;SES ALMA, KAYIT ETME VE SES KOPYALAMA ÜLE ÜLGÜLÜ EKÜPMANLAR
9;9112;DÜÚER;SES VE G…R†NT† ALMA, KAYIT ETME, KOPYALAMA ÜLE ÜLGÜLÜ EKÜPMANLAR
9;9113;DÜÚER;TAÞINABÜLÜR SES VE G…R†NT† CÜHAZLARI
9;9119;DÜÚER;SES VE RESÜM ALMA, KAYIT ETME, KOPYALAMA ÜLE ÜLGÜLÜ DÜÚER EKÜPMANLAR
9;9121;DÜÚER;KAMERALAR
9;9122;DÜÚER;FOTOÚRAF VE SÜNEMA EKÜPMANLARININ AKSESUARLARI
9;9123;DÜÚER;OPTÜK ALETLER
9;9131;DÜÚER;KÜÞÜSEL BÜLGÜSAYARLAR
9;9132;DÜÚER;BÜLGÜ ÜÞLEME EKÜPMANLARININ AKSESUARLARI
9;9133;DÜÚER;YAZILIM
9;9134;DÜÚER;HESAP MAKÜNELERÜ VE DÜÚER BÜLGÜ ÜÞLEME EKÜPMANLARI
9;9141;DÜÚER;…NCEDEN KAYDEDÜLMÜÞ (DOLU) KAYIT ORTAMLARI (KASETLER, DÜSKLER VE DÜSKETLER)
9;9142;DÜÚER;KAYDEDÜLMEMÜÞ (BOÞ) KAYIT ORTAMLARI (KASETLER, DÜSKLER VE DÜSKETLER)
9;9149;DÜÚER;DÜÚER KAYIT ORTAMLARI
9;9150;DÜÚER;G…RSEL-ÜÞÜTSEL (AUDÜO-VÜSUAL), FOTOÚRAFÜK EKÜPMANLARIN VE BÜLGÜ ÜÞLEME EKÜPMANLARININ TAMÜRÜ
9;9211;DÜÚER;KAMP ARACI, KARAVAN VE TREYLER
9;9212;DÜÚER;U‚AK, K†‚†K TÜP U‚AK, PLAN…R, ASMALI PLAN…R VE SICAK HAVA BALONU
9;9213;DÜÚER;BOT, K†‚†K BOTLARIN ARKASINA TAKILAN MOTORLAR VE BOTLARIN TE‚HÜZATLARI
9;9214;DÜÚER;ATLAR, MÜDÜLLÜLER VE AKSESUARLARI
9;9215;DÜÚER;OYUN VE SPORLAR Ü‚ÜN TEMEL MALZEMELER
9;9221;DÜÚER;M†ZÜK ENSTR†MANLARI
9;9222;DÜÚER;KAPALI ALANLARDA KULLANILAN TEMEL DAYANIKLI EÚLENCE ARA‚LARI
9;9230;DÜÚER;DÜÚER TEMEL DAYANIKLI EÚLENCE VE K†LT†R ARA‚LARININ BAKIM VE ONARIMI
9;9311;DÜÚER;OYUNLAR VE HOBÜLER
9;9312;DÜÚER;OYUNCAKLAR VE KUTLAMA MALZEMELERÜ
9;9321;DÜÚER;SPOR EKÜPMANLARI
9;9322;DÜÚER;KAMP VE A‚IK HAVA EÚLENCE EKÜPMANLARI
9;9323;DÜÚER;SPOR, KAMP VE A‚IK HAVA EÚLENCE EKÜPMANLARININ ONARIMI
9;9331;DÜÚER;BAH‚E †R†NLERÜ
9;9332;DÜÚER;BÜTKÜLER VE ‚Ü‚EKLER
9;9341;DÜÚER;EV HAYVANLARININ SATIN ALINMASI
9;9342;DÜÚER;EV HAYVANLARI Ü‚ÜN †R†NLER
9;9350;DÜÚER;EV HAYVANLARI Ü‚ÜN VETERÜNERLÜK VE DÜÚER HÜZMETLER
9;9411;DÜÚER;EÚLENCE VE SPOR YERLERÜNE GÜTME (GÜRÜÞ †CRETÜ)
9;9412;DÜÚER;EÚLENCE VE SPOR AMA‚LI FAALÜYETLERE KATILIM
9;9421;DÜÚER;SÜNEMALAR, TÜYATROLAR, KONSERLER
9;9422;DÜÚER;M†ZELER, K†T†PHANELER, HAYVANAT BAH‚ELERÜ
9;9423;DÜÚER;TELEVÜZYON VE RADYO LÜSANS †CRETLERÜ, ABONELÜKLER
9;9424;DÜÚER;K†LT†REL TE‚HÜZAT VE AKSESUARLARIN KÜRALANMASI
9;9425;DÜÚER;FOTOÚRAF‚ILIK HÜZMETLERÜ
9;9429;DÜÚER;DÜÚER K†LT†REL HÜZMETLER
9;9430;DÜÚER;ÞANS OYUNLARI
9;9511;DÜÚER;KURGUSAL KÜTAPLAR (HÜKAYE, ROMAN VB.)
9;9512;DÜÚER;EÚÜTSEL DERS KÜTAPLARI
9;9513;DÜÚER;DÜÚER KURGUSAL OLMAYAN KÜTAPLAR
9;9514;DÜÚER;CÜLTLEME HÜZMETLERÜ VE E-KÜTAP Y†KLEMELERÜ
9;9521;DÜÚER;GAZETELER
9;9522;DÜÚER;DERGÜLER VE S†RELÜ YAYINLAR
9;9530;DÜÚER;‚EÞÜTLÜ BASILMIÞ MATERYALLER
9;9541;DÜÚER;KAÚIT †R†NLERÜ
9;9549;DÜÚER;DÜÚER KIRTASÜYE VE ‚ÜZÜM MATERYALLERÜ
9;9601;DÜÚER;YURT Ü‚Ü PAKET TURLAR VE TATÜLLER
9;9602;DÜÚER;YURT DIÞI PAKET TURLAR VE TATÜLLER
10;10101;DÜÚER;OKUL …NCESÜ EÚÜTÜM
10;10102;DÜÚER;ÜLKOKUL EÚÜTÜMÜ
10;10200;DÜÚER;ORTAOKUL VE LÜSE EÚÜTÜMÜ
10;10300;DÜÚER;ORTA…ÚRETÜM SONRASI Y†KSEK…ÚRETÜM DERECESÜNDE OLMAYAN EÚÜTÜM
10;10400;DÜÚER;Y†KSEKOKUL VE †NÜVERSÜTE EÚÜTÜMÜ
10;10500;DÜÚER;SEVÜYEYE G…RE TANIMLANAMAYAN EÚÜTÜM
11;11111;DÜÚER;LOKANTALAR, KAFELER, BARLAR, GECE KUL†PLERÜ VB.
11;11112;DÜÚER;FAST FOOD VE PAKET SERVÜS HÜZMETLERÜ
11;11120;DÜÚER;KANTÜNLER
11;11201;DÜÚER;OTEL, MOTEL, PANSÜYON VE BENZERÜ YERLERDEKÜ KONAKLAMA HÜZMETLERÜ
11;11202;DÜÚER;TATÜL MERKEZLERÜ, KAMP ALANLARI, GEN‚LÜK HOSTELLERÜ VE BENZERÜ YERLERDEKÜ KONAKLAMA HÜZMETLERÜ
11;11203;DÜÚER;DÜÚER ÜÞLETMELERDEKÜ KONAKLAMA HÜZMETLERÜ
12;12111;DÜÚER;ERKEKLER VE ‚OCUKLAR Ü‚ÜN BERBERLÜK (KUAF…RL†K) HÜZMETLERÜ
12;12112;DÜÚER;KADINLAR Ü‚ÜN KUAF…RL†K HÜZMETLERÜ
12;12113;DÜÚER;KÜÞÜSEL BAKIM HÜZMETLERÜ
12;12121;DÜÚER;KÜÞÜSEL BAKIMDA KULLANILAN ELEKTRÜKLÜ ALETLER
12;12122;DÜÚER;KÜÞÜSEL BAKIMDA KULLANILAN ELEKTRÜKLÜ ALETLERÜN ONARIMI
12;12131;DÜÚER;ELEKTRÜKLÜ OLMAYAN ALETLER
12;12132;DÜÚER;KÜÞÜSEL TEMÜZLÜK VE SAÚLIK Ü‚ÜN KULLANILAN †R†NLER, EZOTERÜK †R†NLER VE G†ZELLÜK †R†NLERÜ
12;12200;DÜÚER;GENELEV VB. YERLERDE VERÜLEN HÜZMETLER
12;12311;DÜÚER;M†CEVHERAT
12;12312;DÜÚER;SAAT VE KOL SAATLERÜ
12;12313;DÜÚER;M†CEVHERAT, SAAT VE KOL SAATLERÜNÜN ONARIMI
12;12321;DÜÚER;SEYAHAT EÞYALARI
12;12322;DÜÚER;BEBEK EÞYALARI
12;12323;DÜÚER;DÜÚER KÜÞÜSEL EÞYALARIN ONARIMI
12;12329;DÜÚER;BAÞKA YERDE SINIFLANDIRILMAMIÞ DÜÚER KÜÞÜSEL EÞYALAR
12;12401;DÜÚER;‚OCUK BAKIM HÜZMETLERÜ
12;12402;DÜÚER;YAÞLILAR Ü‚ÜN HUZUREVLERÜ, ENGELLÜLER Ü‚ÜN KALACAK YERLER
12;12403;DÜÚER;ÜNSANLARA KENDÜ EVLERÜNDE SUNULAN BAKIM HÜZMETLERÜ
12;12404;DÜÚER;DANIÞMANLIK HÜZMETLERÜ
12;12510;DÜÚER;HAYAT SÜGORTASI
12;12520;DÜÚER;KONUT SÜGORTASI
12;12531;DÜÚER;KAMU SAÚLIK SÜGORTASI
12;12532;DÜÚER;…ZEL SAÚLIK SÜGORTASI
12;12541;DÜÚER;MOTORLU TAÞIT SÜGORTASI
12;12542;DÜÚER;SEYAHAT SÜGORTASI
12;12550;DÜÚER;DÜÚER SÜGORTALAR
12;12610;DÜÚER;FISIM (DOLAYLI …L‚†LEN MALÜ ARACILIK HÜZMETLERÜ)
12;12621;DÜÚER;BANKALAR VE POSTANELERE YAPILAN …DEMELER
12;12622;DÜÚER;YATIRIM DANIÞMANLARININ, BORSA SÜMSARLARININ (BROKERLERÜN) †CRETLERÜ VE HÜZMET BEDELLERÜ
12;12701;DÜÚER;ÜDARÜ HÜZMETLERÜN †CRETLERÜ
12;12702;DÜÚER;HUKUKÜ HÜZMETLER VE MUHASEBE
12;12703;DÜÚER;CENAZE HÜZMETLERÜ
12;12704;DÜÚER;DÜÚER †CRETLER VE HÜZMETLER

